VIN_NUMBER,MANUFACTURER,MODEL_YEAR,VEHICLE_TYPE,OIL_CHANGE_DISTANCE,ODOMETER,COMMENTS,DATE_TESTED,EXHAUST_HC,NON_EXHAUST_HC,EXHAUST_CO,EXHAUST_NO2
1LBZSX4S21HXKBZ1K,"Lincoln",2001,LIGHT_DUTY_TRUCK,2415,119826,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do",2001-1-11,1.4064667189883,0.9206870289427609,26.62859845978652,2.1909326562182003
"","","","","","","",2001-12-27,0.5688285764699486,0.9363967380975099,29.266278032295418,4.975558608097149
"","","","","","","",2001-6-23,1.230520607935098,0.38635281667812676,17.593150185908723,0.2530749512564616
5LT6L3SJ6XPW0Y04X,"Lincoln",1999,MOTORCYCLE,794,39431,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjrealistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap",1999-9-14,1.6100000143051147,0.699999988079071,14.59000015258789,1.25
4SRU6A7HLPWHZ23WZ,"Subaru",1993,MOTORCYCLE,365,122147,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make",1993-9-27,1.75,0.7200000286102295,14.760000228881836,1.2799999713897705
"","","","","","","",1993-3-22,2.882843956749905,2.214319315546022,66.51015162357375,6.471144811160303
"","","","","","","",1993-8-10,2.5221314034465974,1.9578243336899077,65.4048267807727,5.912908929439467
4FPHZ4B5P5QGMRGOQ,"Mazda",2005,LIGHT_DUTY_TRUCK,559,89092,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligi",2005-5-24,0.6369900746633619,2.079453608941525,20.05293439139902,1.3892119429829783
"","","","","","","",2005-8-6,0.5324026606908702,0.4927389321393475,14.164413081599925,0.05257924340701203
"","","","","","","",2005-9-25,1.6100000143051147,0.6899999976158142,14.579999923706055,1.25
"","","","","","","",2005-0-11,0.0748086942862003,1.1500036474784192,17.3426419069982,1.0892815310951254
1N6YUYVJA4BPAOI6J,"Nissan",2004,LIGHT_DUTY_TRUCK,1850,103885,"Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lkjslijlie jsill. jjjFluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789Fluxum flap dum dum. Foo bar zany somethingnew any words will do. Just trying to make some 123456789realistic text to plug into the comment field. Llijihgph wpokrepoj slkaligihe; lk",2004-9-22,1.357409716987253,0.5391365144039268,17.91413956970591,1.5955557709537378
"","","","","","","",2004-3-9,0.5990435146894115,1.377633103848948,11.861509637673263,0.45692689976040857
"","","","","","","",2004-10-8,0.5103369620095144,1.0531555605395617,14.72613571382638,0.8639129486580722
